cycle_id,label,image,h,disk,pl,workload,c,rr,runtime_s,rps,ttft_mean,tpot_mean,latency_mean,gpu_block,ext_block,gpu_tok,ext_tok,compute_tok,overall_tok,g2c_GB,c2g_GB,bench_log_path,status
t5-01-baseline_RETRY,lmbench baseline,acc47dd9ee34,,,,lmbench,64,0.5,0,0.00,0,0.0,0,6.26,40.35,13.9,34.8,51.3,48.7,829,571,/results/t5-01-baseline_RETRY/bench.log,OK_RETRY
t2-baseline-c192_RETRY,baseline c=192,acc47dd9ee34,,,,longbench_nc200.json,192,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/t2-baseline-c192_RETRY/bench.log,OK_RETRY
t2-best-c192_RETRY,best c=192,8d2360fb4879,1.0,0.25,100,longbench_nc200.json,192,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/t2-best-c192_RETRY/bench.log,OK_RETRY
t6-baseline-rr0.25_EXTRA,baseline rr=0.25,acc47dd9ee34,,,,generate_multi_turn_longbench.json,64,0.25,195,9.24,1024,43.3,3142,5.46,39.59,7.4,36.7,55.9,44.1,4585,2992,/results/t6-baseline-rr0.25_EXTRA/bench.log,OK_RREXTRA
t6-best-rr0.25_EXTRA,best rr=0.25,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,64,0.25,137,13.13,200,18.0,1081,52.24,79.98,66.5,26.8,6.7,93.3,568,2186,/results/t6-best-rr0.25_EXTRA/bench.log,OK_RREXTRA
t6-baseline-rr0.75_EXTRA,baseline rr=0.75,acc47dd9ee34,,,,generate_multi_turn_longbench.json,64,0.75,174,10.94,1334,64.8,4514,2.70,43.63,4.8,41.5,53.6,46.4,4637,3572,/results/t6-baseline-rr0.75_EXTRA/bench.log,OK_RREXTRA
t6-best-rr0.75_EXTRA,best rr=0.75,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,64,0.75,70,25.77,229,19.5,1183,36.66,83.47,59.3,34.0,6.7,93.3,568,2764,/results/t6-best-rr0.75_EXTRA/bench.log,OK_RREXTRA
t6-baseline-rr2.0_EXTRA,baseline rr=2.0,acc47dd9ee34,,,,generate_multi_turn_longbench.json,64,2.0,163,11.12,1833,69.0,5216,1.56,45.47,1.7,44.7,53.6,46.4,4434,3680,/results/t6-baseline-rr2.0_EXTRA/bench.log,OK_RREXTRA
t6-best-rr2.0_EXTRA,best rr=2.0,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,64,2.0,54,33.51,350,21.1,1381,17.54,88.10,44.0,49.3,6.7,93.3,569,4054,/results/t6-best-rr2.0_EXTRA/bench.log,OK_RREXTRA
t6-baseline-rr4.0_EXTRA,baseline rr=4.0,acc47dd9ee34,,,,generate_multi_turn_longbench.json,64,4.0,172,11.34,1993,68.3,5343,1.50,47.23,1.2,46.7,52.2,47.8,4621,4115,/results/t6-baseline-rr4.0_EXTRA/bench.log,OK_RREXTRA
t6-best-rr4.0_EXTRA,best rr=4.0,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,64,4.0,54,33.84,492,22.8,1609,13.07,90.18,32.4,61.0,6.6,93.4,569,5032,/results/t6-best-rr4.0_EXTRA/bench.log,OK_RREXTRA
ph3-a-pl5,tunable h=1.0 pl=5,8d2360fb4879,1.0,0.25,5,generate_multi_turn_longbench.json,64,0.5,98,18.88,369,22.5,1469,29.38,80.01,39.1,48.8,12.2,87.8,1047,4104,/results/ph3-a-pl5/bench.log,OK_PHASE3
ph3-a-pl25,tunable h=1.0 pl=25,8d2360fb4879,1.0,0.25,25,generate_multi_turn_longbench.json,64,0.5,86,20.65,226,19.1,1163,40.34,82.85,60.5,32.7,6.8,93.2,568,2642,/results/ph3-a-pl25/bench.log,OK_PHASE3
ph3-a-pl50,tunable h=1.0 pl=50,8d2360fb4879,1.0,0.25,50,generate_multi_turn_longbench.json,64,0.5,88,20.66,225,19.0,1158,40.91,83.29,60.3,33.0,6.6,93.4,569,2732,/results/ph3-a-pl50/bench.log,OK_PHASE3
ph3-b-baseline-prefix30000,baseline prefix=30000,acc47dd9ee34,,,,cfg_prefix_30000.json,64,0.5,222,3.98,9987,79.6,13877,0.00,28.77,0.0,28.8,71.2,28.8,5499,2216,/results/ph3-b-baseline-prefix30000/bench.log,OK_PHASE3
ph3-b-best-prefix30000,best prefix=30000,8d2360fb4879,1.0,0.25,100,cfg_prefix_30000.json,64,0.5,53,15.27,1092,23.6,2245,1.49,92.21,5.5,87.1,7.4,92.6,533,6198,/results/ph3-b-best-prefix30000/bench.log,OK_PHASE3
ph3-b-baseline-prefix40000,baseline prefix=40000,acc47dd9ee34,,,,cfg_prefix_40000.json,64,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/ph3-b-baseline-prefix40000/bench.log,OK_PHASE3
ph3-b-best-prefix40000,best prefix=40000,8d2360fb4879,1.0,0.25,100,cfg_prefix_40000.json,64,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/ph3-b-best-prefix40000/bench.log,OK_PHASE3
ph3-c-baseline-qps1,lmbench baseline QPS=1,acc47dd9ee34,,,,lmbench,64,1,0,0.00,0,0.0,0,37.05,0.30,37.0,0.2,62.8,37.2,369,1,/results/ph3-c-baseline-qps1/bench.log,OK_PHASE3
ph3-c-best-qps1,lmbench best QPS=1,8d2360fb4879,1.0,0.25,100,lmbench,64,1,0,0.00,0,0.0,0,53.82,5.83,53.8,2.7,43.5,56.5,259,16,/results/ph3-c-best-qps1/bench.log,OK_PHASE3
